CollegeName,CollegeBuildingList.0.BuildingNames
"行政單位","[ ""基礎醫學大樓"", ""基醫大樓"", ""圖書分館"", ""醫分館"", ""三東實驗室"" ]"
"劇場","[ ""外語教學暨資源中心"", ""視聽教育館"", ""視聽館"", ""視廳館"", ""視小劇場"", ""視聽小劇場"", ""外教"", ""Audio Visual Educational Center"", "" 外語教學暨資源中心 "", "" 外語教學中心 "", "" Foreign Language Teaching & Resource Center "", ""  Foreign Language Teaching Center"" ]"
"運動設施","[ ""圓形小劇場"", "" 圓形教室"", "" 圓講堂"", "" Round Theater"" ]"
"活動中心","[ ""圓形小劇場"", "" 圓形教室"", "" 圓講堂"", "" Round Theater"" ]"
"其他","[ ""尊賢館"", ""立德"", ""吳尊賢文教公益基金會"", ""台大尊賢會館"", ""Restaurant"", "" Food"" ]"
"醫學院","[ ""臺大醫學院舊館"", "" 醫學院二號館"", "" 中正二館"", "" 醫學院人文館"", ""醫學人文博物館"", ""古蹟"", "" Heritage"" ]"
"理學院","[ ""大氣科學系"" ]"
"文學院","[ ""展書樓"", ""國編館"", ""醫工所"", ""光電所"", ""高分子所"", ""Jan Shu Hall"", "" 緊急報案"", "" emergency"", "" 警察"", "" police"", "" help"" ]"
"生農學院","[ ""3號館"", ""農化系"", ""農化舊館"", ""農化系館"", ""農化一"", ""Bldg. No.3"", "" Building No.3"" ]"
"生命科學院","[ ""3號館"", ""農化系"", ""農化舊館"", ""農化系館"", ""農化一"", ""Bldg. No.3"", "" Building No.3"" ]"
"工學院","[ ""2號館"", ""物理舊館"", ""舊物理館"", ""Building No.2, Bldg. No.2"", "" 普物實驗"" ]"
"電機資訊學院","[ ""電機一館"", ""舊電機館"", ""電機工程研究所"", ""EE Building No.1"" ]"
"管理學院","[ ""管理學院一號館"", ""管院一館"", ""管院1館"", ""財金系"", ""資管系"", ""Bldg. 1, College of Management "", "" 管一"" ]"
"公共衛生學院","[ ""公衛大樓"", ""公衛學院"" ]"
"社會科學院","[ ""新聞研究所"", ""Graduate Institute of Journalism"" ]"
"法律學院","[ ""萬才館"", ""Wan Tsai Research Hall"", "" 法2"" ]"
"學生宿舍","[ ""男三舍"", ""Male Dorm #3"", "" 3rd Men's Dorm"", "" Restaurant"", "" Food"" ]"
"教學大樓","[ ""共同科目教室"", ""共同教室"", ""共同大樓"", ""Common Subjects Classroom Building"", ""Common Courses Bldg."" ]"
"圖書館","[ ""舊總圖書館"", ""舊圖"", ""舊總圖"", ""古蹟"", ""Heritage"", "" 紀念品"", "" souvenir"", "" 校史日"" ]"
